"ADRESA","ADRESARAW","LOCALITATE","NUME"
"strada johannes honterus nr. 1","STR. JOHANNES HONTERUS NR. 1","MEDIAŞ","AXENTE MIA"
"strada general traian doda nr. 3, ap. 1a","STR. GEN. TRAIAN DODA NR. 3, AP. 1A","TIMIŞOARA","AZOIŢEI IOAN-GABRIEL"
"parcul traian, nr.4/a","Parcul Traian, Nr.4/A","ORADEA","BABA MARINELA FLORICA CAMELIA"
"strada castanilor nr. 5, ap. 4","STR. CASTANILOR NR. 5, AP. 4","BRAŞOV","BABONEA MARCEL"
"strada proclmaţiei de la nr. 5","STR. PROCLMAŢIEI DE LA TIMIŞOARA NR. 5","TIMIŞOARA","BÂC IOAN-ALIN"
" strada vasile conta, nr.1, bl.pb106, ap.1"," Str. Vasile Conta, Nr.1, Bl.Pb106, Ap.1","ORADEA","BACIU LIVIA-NICOLETA"
"nr. 416/c","NR. 416/C","GORNEŞTI","BACIU-POP DIANA-LAURA"
"strada retezatului nr. 8","STR. RETEZATULUI NR. 8","TÂRGU MUREŞ","BACULEA ANDREI -PAUL"
"calea dorobanţilor, nr.87, sectorul 1","CALEA DOROBANŢILOR, Nr.87, Sectorul 1","BUCURESTI","BADEA FLORIAN"
"strada banatului, nr. 4","str. Banatului, nr. 4","SIBIU","BADEA MARIA MIHAELA"
"calea eroilor nr.24","CALEA Eroilor Nr.24","TARGU JIU","BADEA SILVIA"
"1mai , nr.33, bl.pm2, ap.41","1Mai , Nr.33, Bl.Pm2, Ap.41","CONSTANTA","BADEA VICTORIA"
"ciucaş, nr.5b, ap.1-2","CIUCAŞ, Nr.5B, Ap.1-2","ÎNTORSURA BUZĂULUI","BADIU AURELIAN-CORNEL "
"bulevardul regina elisabeta nr. 9, sector 3","B-DUL REGINA ELISABETA NR. 9, SECTOR 3","BUCURESTI","BADIU LAURA"
"calea plevnei, nr. 131a, sector 1","CALEA PLEVNEI, NR. 131A, SECTOR 1","BUCURESTI","BAIAS VALERIA"
"bulevardul traian, nr. 16-18","B-DUL TRAIAN, NR. 16-18","BAIA MARE","BAL CRISTINA-MARIA"
"strada românia muncitoare nr. 13a","STR. ROMÂNIA MUNCITOARE NR. 13A","CRAIOVA","BALACI EUGEN"
"mihai eminescu, nr.31, ap.15","MIHAI EMINESCU, Nr.31, Ap.15","PIATRA NEAMT","BALAN OANA"
"strada tudor vladimirescu, bl. b10, sc. a, parter, ap.2","STR. TUDOR VLADIMIRESCU, BL. B10, SC. A, PARTER, AP.2","MOINEŞTI","BALAN RALUCA DIANA"
"bulevardul revoluţiei, nr. 60, ap. 9a","BLD. REVOLUŢIEI, NR. 60, AP. 9A","ARAD","BALAŞ  MARCELA CECILIA"
"bulevardul carol i, nr. 57, sc.2,sector 2","B-DUL CAROL I, NR. 57, SC.2,SECTOR 2","BUCUREŞTI","BALDAN DRAGA  RALUCA"
"piaţa libertăţii, nr.1, jud. harghita","PIAŢA LIBERTĂŢII, Nr.1, JUD. HARGHITA","MIERCUREA CIUC","BALOGH EDIT"
"strada george coşbuc, nr. 25/2, jud. maramureş","STR. GEORGE COŞBUC, NR. 25/2, JUD. MARAMUREŞ","BAIA MARE","BALOGH MELANIA"
"strada clujului, bl. a1, parter","STR. CLUJULUI, BL. A1, PARTER","TEIUŞ","BANCIU MARIA"
"calea lui traian, nr.151, bl. bancă, ap.2","CALEA LUI TRAIAN, NR.151, BL. BANCĂ, AP.2","RÂMNICU VÂLCEA","BANU CLAUDIA-MIHAELA"
"strada republicii, nr. 48","STR. REPUBLICII, NR. 48","VALEA LUI MIHAI","BARA EUGENIA- LIVIA"
"strada episcop augustin pacha, nr. 10, sc. b, et. 1 sad 10","STR. EPISCOP AUGUSTIN PACHA, NR. 10, SC. B, ET. 1 SAD 10","TIMIŞOARA","BARAC PAULA"
"strada i.l. caragiale, nr. 3","STR. I.L. CARAGIALE, NR. 3","REŞIŢA","BARBALATĂ LIDIA"
"strada romană nr. 48","STR. ROMANĂ NR. 48","PLOIESTI","BARBU FLOAREA"
"strada piaţa nr. 6","STR. PIAŢA NR. 6","AGNITA","BARBU LENUŢA"
"caporal ghencea, bl.203, sc.a, ap.3","CAP.GHENCEA, Bl.203, Sc.A, Ap.3","ROSIORII DE VEDE","BARBU MARIA"
"strada academiei, nr. 35-37, sc.a ,mezanin, ap. 7-8, sector 1","STR. ACADEMIEI, NR. 35-37, SC.A ,MEZANIN, AP. 7-8, SECTOR 1","BUCUREŞTI","BARBU MONA-EUGENIA"
"strada alexandru constantinescu nr.5, ap.1, parter, sector 1","STR. ALEXANDRU CONSTANTINESCU NR.5, AP.1, PARTER, SECTOR 1","BUCUREŞTI","BARBU ROXANA-MARIA"
"bulevardul ion mihalache, nr. 109, bl. 13 a, sc. 2, ap. 56, sector 1","B-DUL ION MIHALACHE, NR. 109, BL. 13 A, SC. 2, AP. 56, SECTOR 1","BUCUREŞTI","BARBU ROXANA-MARIA"
"soseaua olteniţei, nr. 220, bl. 8, parter, ap. 56, sector 4","ŞOS. OLTENIŢEI, NR. 220, BL. 8, PARTER, AP. 56, SECTOR 4","BUCUREŞTI","BÂRLĂDEANU SILVIA"
"strada pieţii, nr.7, jud. harghita","STR. PIEŢII, Nr.7, JUD. HARGHITA","MIERCUREA CIUC","BÁRÓ ILDIKÓ-MÁRIA"
"strada cuza vodă nr. 2, bl. 13, sc. a, parter","STR. CUZA VODĂ NR. 2, BL. 13, SC. A, PARTER","ROMAN","BARTICEL IOANA"
"strada eroilor, bl. 20, sc. c, ap. 44, jud. alba","STR. EROILOR, BL. 20, SC. C, AP. 44, JUD. ALBA","BLAJ","BARTOC HORIA-IOAN"
"strada dealului, nr. 1, jud. ","STR. DEALULUI, NR. 1, JUD. SIBIU","SIBIU","BARTOK  MONICA"
"strada argeş nr. 9-13","STR. ARGEŞ NR. 9-13","ARAD","BÂTEA COSMIN-RAZVAN"
"bulevardul mamaia, nr. 65, bl. l1a, sc. b, parter, ap. 64","BLD. MAMAIA, NR. 65, BL. L1A, SC. B, PARTER, AP. 64","CONSTANŢA","BATURI CRISTINA"
"calea bucuresti, bl.17c, ap.3","Calea Bucuresti, Bl.17C, Ap.3","CRAIOVA","BAZGU MARIANA"
"1 decembrie 1918, bl.124, parter","1 DECEMBRIE 1918, Bl.124, PARTER","PETROSANI","BĂCILĂ MARIA-DORINA"
"strada 1 decembrie 1918, bl. 124, parter, jud. hunedoara","STR. 1 DECEMBRIE 1918, BL. 124, PARTER, JUD. HUNEDOARA","PETROŞANI","BĂCILĂ OANA-MARIA"
"ştefan cel mare şi sfânt, nr. 3, parter","ŞTEFAN CEL MARE ŞI SFÂNT, NR. 3, PARTER","IAŞI","BĂDĂRĂU DANIELA"
"strada a panu, bl. h1, parter","STR. A PANU, BL. H1, PARTER"," IASI","BĂDĂRĂU STELA"
"mun. , bulevardul libertăţii, nr. 17","MUN. HUNEDOARA, B-DUL LIBERTĂŢII, NR. 17","HUNEDOARA","BĂIEŞAN GABRIELA"
"strada nicolae bălcescu, nr. 5","STR. NICOLAE BĂLCESCU, NR. 5","BACĂU","BĂISAN ANDREI-HELIUS"
"calea bucureşti nr. 89, bl. e3, sc. 3, parter, ap. 4","CALEA BUCUREŞTI NR. 89, BL. E3, SC. 3, PARTER, AP. 4","CRAIOVA","BĂJENARU ANAMARIA"
"strada tudor vladimirescu, bloc unicat, moineşti, jud. bacău","STR. TUDOR VLADIMIRESCU, BLOC UNICAT, MOINEŞTI, JUD. BACĂU","MOINESTI","BĂLAN MĂRINICA"
"mihai eminesu, nr.31, ap.13","Mihai Eminesu, Nr.31, Ap.13","PIATRA NEAMT","BĂLAN OANA"
"bulevardul republicii, nr.68, ap.1","Bd. REPUBLICII, Nr.68, Ap.1","ONESTI","BĂLAN VASILE"
"strada sportivilor, bl. b, sc. 2, ap. 2, parter","STR. SPORTIVILOR, BL. B, SC. 2, AP. 2, PARTER","TOPLIŢA","BĂLGĂRĂDEAN STELIAN-MARCEL"
"mihail kogălniceanu, nr. 20, bl. 2, sc. b, ap. 3, parter","MIHAIL KOGĂLNICEANU, NR. 20, BL. 2, SC. B, AP. 3, PARTER","FUNDULEA","BĂNĂŢEANU CASANDRA LIANA"
"bulevardul tomis nr. 291, bl. t14, sc. b, parter, ap. 47","BD. TOMIS NR. 291, BL. T14, SC. B, PARTER,  AP. 47","CONSTANŢA","BĂNIŢĂ  CONSTANTIN"
"soseaua alexandriei, nr. 140, parter","ŞOS. ALEXANDRIEI, NR. 140, PARTER","CORNETU","BĂNUŢĂ  BIANCA AURELIA"
"strada intrarea tudor ştefan, nr. 53-55, sector 1","STR. INTRAREA TUDOR ŞTEFAN, NR. 53-55, SECTOR 1","BUCURESTI","BĂNUŢĂ GEORGETA"
"bulevardul gral vasile milea, bl.b1, ap.1 şi 3, jud. ","bdl. Gral Vasile Milea, Bl.B1, Ap.1 ŞI 3, JUD. SIBIU","SIBIU","BĂRA CLAUDIU-NICOLAE"
"razboieni, nr.30, sc.b, ap.3","RAZBOIENI, Nr.30, Sc.B, Ap.3","BACĂU","BĂRBIERU  CARMEN-NICOLETA"
"strada voroneţ nr. 11, bl. d6, sc. 3, parter, ap. 31, sector 3","STR. VORONEŢ NR. 11, BL. D6, SC. 3, PARTER, AP. 31, SECTOR 3","BUCUREŞTI","BĂRBULESCU LIDIA"
"bulevardul râmnicu sărat nr. 31, bl. 11b, sc. a, parter, ap. 3, sector 3","BLD. RÂMNICU SĂRAT NR. 31, BL. 11B, SC. A, PARTER, AP. 3, SECTOR 3","BUCUREŞTI","BĂRCĂNESCU DRAGOŞ-ANTONIU-IOAN"
"sat ","SAT TRUŞEŞTI","TRUŞEŞTI","BĂRCULEŢ IRINA-MIHAELA"
"hărmanului, nr. 11, sc. c, ap. 2","HĂRMANULUI, NR. 11, SC. C, AP. 2","BRASOV","BĂTRÂNU ELENA"
"olteniţei, nr.34, bl.5c, ap.4, sectorul 4","Olteniţei, Nr.34, Bl.5C, Ap.4, Sectorul 4","BUCURESTI","BEANGĂ STELUŢA LEONTINA"
"strada râmnicu vâlcea, nr. 6, bl. s20, sc. 1, parter, ap. 3, sector 3","STR. RÂMNICU VÂLCEA, NR. 6, BL. S20, SC. 1, PARTER, AP. 3, SECTOR 3","BUCURESTI","BECHERU RĂSVAN CEZAR"
"strada ion luca caragiale nr. 5, bl. l120, sc. a, parter, ap. 1","STR. ION LUCA CARAGIALE NR. 5, bl. L120, SC. a, PARTER, AP. 1","CONSTANŢA","BEIU MARIA"
"strada panduri nr. 7, bl. p30, sc. 1, parter, ap. 2, sector 5","STR. PANDURI NR. 7, BL. P30, SC. 1, PARTER, AP. 2, SECTOR 5","BUCURESTI","BELDEA VIRGINIA"
"strada primăriei, nr. 3","STR. PRIMĂRIEI, NR. 3","SEBEŞ","BELDEAN GHEORGHE"
"strada mihai viteazu nr. 158","STR. MIHAI VITEAZU NR. 158","OCNA SIBIULUI","BELDEAN VIOLETA"
"strada nicolina nr. 11, bl. a5, sc. b parter","STR. NICOLINA NR. 11, BL. A5, SC. B PARTER","IASI","BELDEANU IOANA ANGELA"
"victoriei, nr.104, bl.a1","VICTORIEI, Nr.104, Bl.A1","BĂILESTI","BELU AUREL"
"costache racovita, bl.c, ap.12","Costache Racovita, Bl.C, Ap.12","TECUCI","BENTU NICOLETA MIRONA"
"strada tudor vladimirescu, nr. 88","STR. TUDOR VLADIMIRESCU, NR. 88","BOCŞA","BEREANU DAN WALTER"
"strada avram iancu, nr. 31","STR. AVRAM IANCU, NR. 31","PÂNCOTA","BEREANU DAN WALTER"
"strada vasile conta nr. 4, et. 1, sector 1","STR. VASILE CONTA NR. 4, ET. 1, SECTOR 1","BUCUREŞTI","BEREVOIANU RADU-COSTIN"
"strada petru rareş, nr. 1, ap. 26, jud. bihor","STR. PETRU RAREŞ, NR. 1, AP. 26, JUD. BIHOR","ORADEA","BERGER LUCIA-PAULA"
"bulevardul magheru, nr.44","Bld. Magheru, Nr.44","ORADEA","BERGER TIBERIU GABRIEL"
"bulevardul revoluţiei nr.71, ap.11","BD. REVOLUŢIEI NR.71, AP.11","ARAD","BEŞLIU MIHAELA NICOLETA"
"bulevardul victoriei, nr. 6, jud. ","B-DUL VICTORIEI, NR. 6, JUD. SIBIU","SIBIU","BEXA MIHAI"
"bulevardul victoriei, nr.20, et. 1","BLD. VICTORIEI, Nr.20, ET. 1","SIBIU","BEXA SIMION"
"strada tudor vladimirescu, nr. 98","STR. TUDOR VLADIMIRESCU, NR. 98","TÂRGOVIŞTE","BEZNOIU ILEANA-CAMELIA"
"bulevardul victoriei nr. 19, ap. 1","BLD. VICTORIEI NR. 19, AP. 1","SIBIU","BIANU TUDOR-IOAN"
"bulevardul victoriei, nr.19","B-dul Victoriei, Nr.19","SIBIU","BIANU VICTORIA"
"strada vasile pârvan, nr. 80, bl.e5, nr. 27, parter","STTR. VASILE PÂRVAN, NR. 80, BL.E5, NR. 27, PARTER","BÂRLAD","BICIUŞCĂ MIHAELA- ELENA"
"piaţa unirii nr. 12, ","PIAŢA UNIRII NR. 12, ","NĂSĂUD","BILAN IOANA-TEODORA"
"strada general eral magheru, bl.m, ap. 3","STR. G-RAL MAGHERU, BL.M, AP. 3","ORADEA","BIRIŞ CARMEN ALINA"
"com. , strada tudor vladimirescu, nr.118","COM. PODU TURCULUI, STR. TUDOR VLADIMIRESCU, NR.118","PODU TURCULUI","BÎRGĂOANU ALEXANDRU-MARIUS"
"soseaua nicolae titulescu nr. 48, parter, sector 1","ŞOS. NICOLAE TITULESCU NR. 48, PARTER, SECTOR 1","BUCUREŞTI","BÎRZU LOREDANA"
"strada 9 mai nr. 17 , sc. a, ap. 3, parter","STR. 9 MAI NR. 17 , SC. A, AP. 3, PARTER","BACĂU","BLAGAN GEORGE"
"stefan cel mare, bl.b2","STEFAN CEL MARE, Bl.B2"," IASI","BLAJ AVRAM LILIANA VASILICA"
"strada satu mare, nr. 2","STR. SATU MARE, NR. 2","LIVADA","BLEDEA CORNELIA"
"piaţa libertăţii, nr. 4","PIAŢA LIBERTĂŢII, NR. 4","SIGHETUL MARMAŢIEI","BLEDEA STELUŢA"
"mihai eminescu, nr.16, bl.e3","Mihai Eminescu, Nr.16, Bl.E3","PIATRA NEAMT","BLOJU VERONICA"
"strada doamna stanca, nr. 25, jud. braşov","STR. DOAMNA STANCA, NR. 25, JUD. BRAŞOV","FĂGĂRAŞ","BOAMFĂ ADRIAN"
"revolutiei, nr.1, ap.9b","Revolutiei, Nr.1, Ap.9B","TIMISOARA","BOAR ANA"
"bulevardul 15 noiembrie, nr.39","B-DUL 15 NOIEMBRIE, Nr.39","PREJMER","BOBB CAMELIA"
"strada galaţi nr. 181","STR. GALAŢI NR. 181","PECHEA","BOBOC MARIOARA RODICA"
"stefan cel mare, nr.62, ap.4","STEFAN CEL MARE, Nr.62, Ap.4","SUCEAVA","BOBRIC MIRCEA-EUGEN"
"strada marchian nr. 4, parter","STR. MARCHIAN NR. 4, PARTER","BOTOŞANI","BOBU LILI"
"bulevardul păcii, nr. 7, bl. 16c, sc.1, ap. 2, sector 6","B-DUL PĂCII, NR. 7, BL. 16C, SC.1, AP. 2, SECTOR 6","BUCUREŞTI","BOCANCEA CARMEN"
"strada republicii, nr.3-5","STR. REPUBLICII, Nr.3-5","ORADEA","BODEA FLOAREA ELISABETA"
"strada lazăr mihaly nr.42","STR. LAZĂR MIHALY NR.42","SFÂNTU GHEORGHE","BOGDAN TEODORA-ROZALIA"
"strada zizin nr. 17, sc. b, ap. 1, jud. ","STR. ZIZIN NR. 17, SC. B, AP. 1, JUD. BRAŞOV","BRAŞOV","BOGDAN VIORICA"
"cartie traian, strada exerciţiu nr. 107, bl. d24, sc. a, ap. 2","CARTIE TRAIAN, STR. EXERCIŢIU NR. 107, BL. D24, SC. A, AP. 2","PITEŞTI","BOGOS NICOLETA-ROMANIŢA"
"strada principele ferdinand, bl. 20, parter","STR. PRINCIPELE FERDINAND, BL. 20, PARTER","RÂMNICU SĂRAT","BOIANGIU CAMELIA-ANIŞOARA"
"aleea mercur, nr.1, cam. 10","ALEEA MERCUR, NR.1, CAM. 10","EFORIE SUD","BOICU CLAUDIA"
"bulevardul griviţei nr. 64, bl. 5, ap. 3, jud. ","B-DUL GRIVIŢEI NR. 64, BL. 5, AP. 3, JUD. BRAŞOV ","BRAŞOV","BOJAN ELENA LUMINIŢA"
"ferdinand , nr.43","FERDINAND , Nr.43","CONSTANTA","BOLDEANU CORINA"
"bulevardul i.c.bratianu, bl.42, sc.c, parter, ap.2","BD. I.C.BRATIANU, Bl.42, Sc.C, parter, Ap.2","PITESTI","BOLOVAN ION COSMIN"
"bulevardul republicii nr. 41, parter, ap. 2","BD. REPUBLICII NR. 41, PARTER, AP. 2","PITEŞTI","BOLOVAN ROXANA-ELENA"
"strada roman ciorogariu","STR. ROMAN CIOROGARIU","ORADEA","BONCHIŞ CONSTANTIN BOGDAN"
"strada pta. unirii, nr.7","STR. Pta. Unirii, Nr.7","ALEŞD","BONCHIŞ CONSTANTIN BOGDAN"
"strada vasile alecsandri nr. 7, et. 1, ap. 23","STR. VASILE ALECSANDRI NR. 7, ET. 1, AP. 23","TIMIŞOARA","BORA MARIA"
"strada vasile alecsandri nr. 7, et. 1, ap. 23","STR. VASILE ALECSANDRI NR. 7, ET. 1, AP. 23","TIMISOARA","BORA MARIA"
"bulevardul revoluţiei nr. 55, ap. 2a","B-DUL REVOLUŢIEI NR. 55, AP. 2A","ARAD","BORAN BIANCA-SINESTA"
",strada cuza vodă nr.30, bl.30, ap.3, parter, jud. vrancea","FOCŞANI,STR. CUZA VODĂ NR.30, BL.30, AP.3, PARTER, JUD. VRANCEA","FOCŞANI","BORCUTEAN ŞTEFANIA-OANA"
"independentei, bl.expres, sc.2, ap.p","Independentei, Bl.Expres, Sc.2, Ap.P","BRAILA","BORCUŢEAN LILIANA"
"strada calea timişoarei nr. 27","STR. CALEA TIMIŞOAREI NR. 27","DUDEŞTII NOI","BORDEANU NICOLETA-CLAUDIA"
"strada gabriel stoianovici, nr. 8, bl. t2, sc. a, parter","STR. GABRIEL STOIANOVICI, NR. 8, BL. T2, SC. A, PARTER","Râmnicu Vâlcea","BORNEA EMANOIL"
"gabriel stoianovici, nr.8, bl.t2, sc.a, ap.1","GABRIEL STOIANOVICI, Nr.8, Bl.T2, Sc.A, Ap.1","RM. VÂLCEA","BORNEA GHEORGHE"
"strada progresului, nr.87-89, bl.b2, sc. b, ap. 1, jud. arad","STR. PROGRESULUI, Nr.87-89, Bl.B2, SC. B, AP. 1, JUD. ARAD","VLADIMIRESCU","BORTEŞ ADINA-ELENA"
"calea griviţei, nr.1","CALEA GRIVIŢEI, Nr.1","CONSTANTA","BORUNĂ CHIRAŢA"
